from,to,"
relationship"
uvdl,fünfhundert,1
lk,fünfhundert,1
nr,fünfhundert,1
sw,fünfhundert,1
cs,fünfhundert,1
cl,fünfhunderteins,1
ks,fünfhunderteins,1
lm,fünfhunderteins,1
kd,fünfhunderteins,1
el,fünfhunderteins,1
ab,fünfhundertzwei,1
ft,fünfhundertzwei,1
am,fünfhundertzwei,1
agf,fünfhundertzwei,1
er,fünfhundertzwei,1
rh,fünfhundertdrei,1
cm,fünfhundertdrei,1
kp,fünfhundertdrei,1
rk,fünfhundertdrei,1
lk,fünfhundertdrei,1
nr,fünfhunderteins,1
uvdl,CDU,2
lk,SPD,2
nr,CDU,2
sw,Linke,2
cl,FDP,2
el,JV,2
ab,Grüne,2
ft,PvdA,2
agf,FDP,2
rh,Grüne,2
rk,CDU,2
