id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,NA,Jura,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Geschichte,Deutschland
lm,Ljudmyla Melnyk,NA,Wissenschaft,Ukraine
kd,Kristina Dunz,NA,Journalismus,Deutschland
el,Egils Levits,Jaunā Vienotība,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,PvdA,Politik,Niederlande
am,Andrij Melnyk,NA,Politik,Ukraine
agf,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Militär,Deutschland
rh,RobertHabeck,Grüne,Politik,Deutschland
cm,Claudia Major,NA,Wissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Journalismus,Deutschland-Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
Grüne,Bündnis 90/​Die Grünen,NA,NA,NA
CDU,Christlich demokratische Union,NA,NA,NA
SPD,Sozial demokratische Partei,NA,NA,NA
Linke,Die Linke,NA,NA,NA
FDP,Freie demokratische Partei,NA,NA,NA
JV,Jaunā Vienotība,NA,NA,NA
PvdA,Partij van der Arbeid,NA,NA,NA
fünfhundert,Folge 500,NA,NA,NA
fünfhunderteins,Folge 501,NA,NA,NA
fünfhundertzwei,Folge 502,NA,NA,NA
fünfhundertdrei,Folge 503,NA,NA,NA
